model,split,time_index,rmse,relative_l2,correlation,spectral_error,energy_relative_error
cnn,ood,69.0,0.021165667101740837,0.7495442628860474,0.7016889926354588,0.438530832529068,0.9841388457864892
cnn,ood,2.0,0.011945142410695553,0.1850973665714264,0.9861411720461771,0.15174251794815063,3.2036459461611755
cnn,ood,12.0,0.008048607036471367,0.2713160216808319,0.964335926145985,0.19348888099193573,0.19393756041258242
cnn,ood,21.0,0.010752670466899872,0.3005427122116089,0.9537302234984896,0.21717886626720428,0.624968808554046
cnn,ood,31.0,0.01447063498198986,0.3056775629520416,0.9528369081063985,0.22182109951972961,2.07417828591574
cnn,ood,40.0,0.011987332254648209,0.2724877595901489,0.9620145005303979,0.17859552800655365,1.851744175982081
cnn,ood,50.0,0.010866688564419746,0.2782305181026459,0.9605836292901377,0.18665531277656555,1.2663911102193235
cnn,ood,59.0,0.013925827108323574,0.36730343103408813,0.9354139366443214,0.24240031838417053,1.4062719781674178
cnn,ood,69.0,0.016817769035696983,0.4487093985080719,0.9102621932465012,0.3503781259059906,1.7490150440956223
cnn,ood,2.0,0.012080060318112373,0.1827647089958191,0.9863089400641902,0.14501050114631653,4.517026195705055
cnn,ood,12.0,0.00852976180613041,0.23858770728111267,0.9739420490465617,0.15824000537395477,1.2085213432119117
cnn,ood,21.0,0.009421147406101227,0.2926214933395386,0.9564571447285957,0.20785509049892426,0.6611003355653587
cnn,ood,31.0,0.012842327356338501,0.2547202408313751,0.9671477476858075,0.18457598984241486,2.128100595003668
cnn,ood,40.0,0.011819964274764061,0.2393059879541397,0.9717480941391577,0.17676708102226257,1.953519231262175
cnn,ood,50.0,0.009976222179830074,0.23832453787326813,0.9715005273456062,0.1781589835882187,1.3966788890977542
cnn,ood,59.0,0.01102368999272585,0.264003723859787,0.9655857449186116,0.1864527016878128,1.5742297229322575
cnn,ood,69.0,0.014276931993663311,0.3394932746887207,0.9455911816946567,0.2255026251077652,2.0680266760535986
cnn,ood,2.0,0.013149995356798172,0.2989060580730438,0.961011913791896,0.26128408312797546,2.3134724738795676
cnn,ood,12.0,0.009009637869894505,0.4285725951194763,0.903304921757674,0.2994563579559326,0.7773739717846644
cnn,ood,21.0,0.01248965971171856,0.4117897152900696,0.9232553387692495,0.355807900428772,0.6345026978143653
cnn,ood,31.0,0.012346850708127022,0.347407728433609,0.9380965731259602,0.2138243019580841,0.9886358174986797
cnn,ood,40.0,0.01507622841745615,0.4440740942955017,0.8972193457140193,0.3316410183906555,1.0919136144782122
cnn,ood,50.0,0.016844073310494423,0.5126488208770752,0.8584816548206096,0.37259986996650696,0.9780278910276765
